数据,目标,字段,背景规模,Δ
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,-0.001134335994720459
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.01208263635635376
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,-0.0020377635955810547
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.029440462589263916
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.03790700435638428
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.038182735443115234
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0020055174827575684
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0004233717918395996
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.006412506103515625
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.023868799209594727
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.03872805833816528
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,-0.0006022453308105469
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0010551810264587402
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.003864467144012451
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0030306577682495117
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.004031121730804443
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,-0.00015336275100708008
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.009137451648712158
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0006663203239440918
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.23440563678741455
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.25183480978012085
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区1,2,0.2768703103065491
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,0,0.33530300855636597
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.06990444660186768
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.30456995964050293
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.16937357187271118
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.3993571996688843
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.44132399559020996
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.3632708787918091
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.4411735534667969
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.44970405101776123
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.15454143285751343
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.0
RTS-GMLC,机组出力_223_STEAM_3,负荷预测_区2,1,0.0
