split,order,method,rank,n_tasks,per_conf_mae,per_conf_bias,per_conf_spearman,maxconf_spearman,pool_fraction,truth_threshold,n_strong,strong_recall
validation,2,gradmap_1024,4,30,0.02039385007487403,-0.017097812559869554,0.756940097879061,0.8638487208008899,0.3,0.05,23,0.391304347826087
validation,2,gradmap_1024,4,30,0.02039385007487403,-0.017097812559869554,0.756940097879061,0.8638487208008899,0.3,0.1,13,0.5384615384615384
validation,2,gradmap_1024,4,30,0.02039385007487403,-0.017097812559869554,0.756940097879061,0.8638487208008899,0.3,0.2,1,1.0
validation,2,gradmap_1024,8,30,0.020731005238162143,-0.017370476822058355,0.7322106865672002,0.8758620689655172,0.3,0.05,23,0.391304347826087
validation,2,gradmap_1024,8,30,0.020731005238162143,-0.017370476822058355,0.7322106865672002,0.8758620689655172,0.3,0.1,13,0.5384615384615384
validation,2,gradmap_1024,8,30,0.020731005238162143,-0.017370476822058355,0.7322106865672002,0.8758620689655172,0.3,0.2,1,1.0
validation,2,gradmap_1024,16,30,0.022409517731931474,-0.018098463449213235,0.6914203886736594,0.8331479421579533,0.3,0.05,23,0.391304347826087
validation,2,gradmap_1024,16,30,0.022409517731931474,-0.018098463449213235,0.6914203886736594,0.8331479421579533,0.3,0.1,13,0.5384615384615384
validation,2,gradmap_1024,16,30,0.022409517731931474,-0.018098463449213235,0.6914203886736594,0.8331479421579533,0.3,0.2,1,1.0
validation,2,gradmap_1024,32,30,0.023508224387963614,-0.018349861270851565,0.6622318747912046,0.875417130144605,0.3,0.05,23,0.391304347826087
validation,2,gradmap_1024,32,30,0.023508224387963614,-0.018349861270851565,0.6622318747912046,0.875417130144605,0.3,0.1,13,0.5384615384615384
validation,2,gradmap_1024,32,30,0.023508224387963614,-0.018349861270851565,0.6622318747912046,0.875417130144605,0.3,0.2,1,1.0
validation,2,gradmap_1024,64,30,0.02355865819586648,-0.018230868544843456,0.6470972301081528,0.8553948832035595,0.3,0.05,23,0.391304347826087
validation,2,gradmap_1024,64,30,0.02355865819586648,-0.018230868544843456,0.6470972301081528,0.8553948832035595,0.3,0.1,13,0.5384615384615384
validation,2,gradmap_1024,64,30,0.02355865819586648,-0.018230868544843456,0.6470972301081528,0.8553948832035595,0.3,0.2,1,1.0
