S,size,conf,v_audit,v_full
"(0, 21, 43)",3,dam_schedule__mw__import__caiso_totals,0.3747740387916565,0.37511777877807617
"(0, 21, 43)",3,dam_schedule__mw__export__caiso_totals,0.47066962718963623,0.4675177335739136
"(0, 21, 43)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.9544352293014526,0.9607051014900208
"(0, 21, 43)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.5604122281074524,0.5477849245071411
"(0, 21, 43)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.4536181092262268,0.45047158002853394
"(0, 21, 43)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.4794626235961914,0.4256000518798828
"(0, 21, 43)",3,dam_as_total_procured__mw__ru__as_caiso,0.24073243141174316,0.22178030014038086
"(0, 21, 43)",3,dam_as_total_procured__mw__rd__as_caiso,0.5420269966125488,0.5436339378356934
"(0, 21, 43)",3,dam_as_total_procured__mw__sr__as_caiso,0.12035566568374634,0.13971132040023804
"(0, 21, 43)",3,dam_as_total_procured__mw__nr__as_caiso,0.24721133708953857,0.24592316150665283
"(0, 33, 42)",3,actual_load__mw__ca_iso_tac,0.7647287845611572,0.764258623123169
"(0, 33, 42)",3,dam_schedule__mw__generation__caiso_totals,0.7092568874359131,0.718853235244751
"(0, 33, 42)",3,dam_schedule__mw__import__caiso_totals,0.36299288272857666,0.3633456230163574
"(0, 33, 42)",3,dam_schedule__mw__export__caiso_totals,0.4066082835197449,0.40855473279953003
"(0, 33, 42)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.7021000385284424,0.7169960141181946
"(0, 33, 42)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.3713090419769287,0.36187809705734253
"(0, 33, 42)",3,dam_lmp__loss_usd_per_mwh__th_sp15_gen_apnd,0.39111143350601196,0.3913266658782959
"(0, 33, 42)",3,rt15_lmp_hourly_mean__congestion_usd_per_mwh__th_sp15_gen_apnd,0.27135950326919556,0.2680683732032776
"(0, 33, 42)",3,dam_as_total_procured__mw__ru__as_caiso,0.3007745146751404,0.2832699418067932
"(0, 33, 42)",3,dam_as_total_procured__mw__rd__as_caiso,0.739421546459198,0.7380994558334351
"(0, 33, 42)",3,dam_as_total_procured__mw__sr__as_caiso,0.07358688116073608,0.09881734848022461
"(0, 33, 42)",3,dam_as_total_procured__mw__nr__as_caiso,0.22107917070388794,0.22074365615844727
"(1, 5, 21)",3,actual_load__mw__ca_iso_tac,0.884506106376648,0.8838645219802856
"(1, 5, 21)",3,dam_schedule__mw__generation__caiso_totals,0.882958173751831,0.8831613063812256
"(1, 5, 21)",3,dam_schedule__mw__import__caiso_totals,0.3250002861022949,0.3539402484893799
"(1, 5, 21)",3,dam_schedule__mw__export__caiso_totals,0.6744375824928284,0.6465899348258972
"(1, 5, 21)",3,dam_lmp__lmp_usd_per_mwh__th_sp15_gen_apnd,0.9590116739273071,0.9652016162872314
"(1, 5, 21)",3,dam_lmp__congestion_usd_per_mwh__th_sp15_gen_apnd,0.5300871729850769,0.5225988626480103
