sid,group,size,band,conf,truth
p00_32,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.2759581208229065
p00_32,pair,2,1-2,gross_actual_interchange_mw,0.1919580698013305
p00_32,pair,2,1-2,marginal_loss_price_da,0.4039665460586548
p00_32,pair,2,1-2,metered_load_mw,0.7738754153251648
p00_32,pair,2,1-2,net_actual_interchange_mw,0.4087818264961242
p00_32,pair,2,1-2,total_gen,0.8008102178573608
p00_32,pair,2,1-2,total_lmp_da,0.4594526290893554
p00_32,pair,2,1-2,total_losses,0.6026436686515808
p00_33,pair,2,1-2,congestion_price_da,0.1714519262313842
p00_33,pair,2,1-2,congestion_price_rt,0.0897625684738159
p00_33,pair,2,1-2,da_as_total_mw_primary_reserve,0.4628940224647522
p00_33,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.5383903980255127
p00_33,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.2558435201644897
p00_33,pair,2,1-2,gross_actual_interchange_mw,0.185680091381073
p00_33,pair,2,1-2,marginal_loss_price_da,0.4159553647041321
p00_33,pair,2,1-2,metered_load_mw,0.7733340263366699
p00_33,pair,2,1-2,net_actual_interchange_mw,0.389646053314209
p00_33,pair,2,1-2,total_gen,0.7987399101257324
p00_33,pair,2,1-2,total_lmp_da,0.4629030227661133
p00_33,pair,2,1-2,total_losses,0.6067661643028259
p00_34,pair,2,1-2,congestion_price_da,0.1091102361679077
p00_34,pair,2,1-2,congestion_price_rt,0.0458420515060424
p00_34,pair,2,1-2,da_as_total_mw_primary_reserve,0.1106700301170349
p00_34,pair,2,1-2,da_as_total_mw_synchronized_reserve,0.1191712617874145
p00_34,pair,2,1-2,da_as_total_mw_thirty_minutes_reserve,0.1362238526344299
p00_34,pair,2,1-2,gross_actual_interchange_mw,0.1739291548728943
p00_34,pair,2,1-2,marginal_loss_price_da,0.376255989074707
p00_34,pair,2,1-2,metered_load_mw,0.7584117650985718
p00_34,pair,2,1-2,net_actual_interchange_mw,0.2134755253791809
p00_34,pair,2,1-2,total_gen,0.770698606967926
p00_34,pair,2,1-2,total_lmp_da,0.3840377926826477
p00_34,pair,2,1-2,total_losses,0.5122858881950378
