S,syn4,best_parent_rank,best_parent_syn3
"(7, 10, 14, 17)",0.1103,14,0.2188
"(7, 14, 17, 32)",0.1167,14,0.2188
"(7, 14, 17, 31)",0.1167,14,0.2188
"(9, 18, 20, 33)",0.1266,12,0.2375
"(9, 18, 20, 38)",0.105,12,0.2375
"(9, 18, 20, 42)",0.1212,12,0.2375
"(1, 7, 17, 19)",0.1505,11,0.2415
"(7, 17, 19, 31)",0.1053,11,0.2415
"(7, 17, 19, 32)",0.1053,11,0.2415
"(7, 17, 19, 42)",0.1086,11,0.2415
"(7, 14, 17, 19)",0.1043,11,0.2415
"(7, 17, 19, 33)",0.1344,11,0.2415
"(7, 17, 19, 38)",0.1103,11,0.2415
"(2, 12, 20, 33)",0.1303,10,0.2435
"(2, 12, 20, 38)",0.1206,10,0.2435
"(2, 12, 20, 42)",0.1141,10,0.2435
"(9, 14, 18, 29)",0.1114,9,0.2842
"(9, 14, 18, 30)",0.1237,9,0.2842
"(9, 14, 18, 31)",0.1045,9,0.2842
"(9, 14, 18, 32)",0.1045,9,0.2842
"(9, 14, 18, 33)",0.1014,9,0.2842
"(9, 18, 19, 33)",0.1034,8,0.3115
"(9, 18, 19, 42)",0.1116,8,0.3115
"(2, 12, 19, 42)",0.1064,7,0.3124
"(2, 12, 19, 33)",0.1078,7,0.3124
