sid,size,K,conf,est
p00_02,2,65,marginal_loss_price_da,0.35977238416671753
p00_02,2,65,total_lmp_da,0.4963868260383606
p00_02,2,65,da_as_total_mw_primary_reserve,0.16307002305984497
p00_02,2,65,da_as_total_mw_synchronized_reserve,0.19797122478485107
p00_02,2,65,da_as_total_mw_thirty_minutes_reserve,0.2666923403739929
p00_02,2,70,net_actual_interchange_mw,0.1692028045654297
p00_02,2,70,gross_actual_interchange_mw,0.1541091799736023
p00_02,2,70,total_gen,0.817480742931366
p00_02,2,70,metered_load_mw,0.8120495676994324
p00_02,2,70,total_losses,0.5106236934661865
p00_02,2,70,congestion_price_da,0.1346060037612915
p00_02,2,70,congestion_price_rt,0.07290524244308472
p00_02,2,70,marginal_loss_price_da,0.3804014325141907
p00_02,2,70,total_lmp_da,0.5103299617767334
p00_02,2,70,da_as_total_mw_primary_reserve,0.16678142547607422
p00_02,2,70,da_as_total_mw_synchronized_reserve,0.1918114423751831
p00_02,2,70,da_as_total_mw_thirty_minutes_reserve,0.27207744121551514
p00_02,2,75,net_actual_interchange_mw,0.16958218812942505
p00_02,2,75,gross_actual_interchange_mw,0.16070282459259033
p00_02,2,75,total_gen,0.828795313835144
p00_02,2,75,metered_load_mw,0.8230510354042053
p00_02,2,75,total_losses,0.5160962343215942
p00_02,2,75,congestion_price_da,0.13516771793365479
p00_02,2,75,congestion_price_rt,0.07457280158996582
p00_02,2,75,marginal_loss_price_da,0.389542818069458
p00_02,2,75,total_lmp_da,0.5052938461303711
p00_02,2,75,da_as_total_mw_primary_reserve,0.17376595735549927
p00_02,2,75,da_as_total_mw_synchronized_reserve,0.19775795936584473
p00_02,2,75,da_as_total_mw_thirty_minutes_reserve,0.27154773473739624
p00_02,2,80,net_actual_interchange_mw,0.18488895893096924
p00_02,2,80,gross_actual_interchange_mw,0.16557782888412476
p00_02,2,80,total_gen,0.8202082514762878
p00_02,2,80,metered_load_mw,0.8127079010009766
p00_02,2,80,total_losses,0.5045995712280273
p00_02,2,80,congestion_price_da,0.10803121328353882
p00_02,2,80,congestion_price_rt,0.07890403270721436
p00_02,2,80,marginal_loss_price_da,0.37549889087677
p00_02,2,80,total_lmp_da,0.5150158405303955
p00_02,2,80,da_as_total_mw_primary_reserve,0.18061721324920654
p00_02,2,80,da_as_total_mw_synchronized_reserve,0.20073795318603516
p00_02,2,80,da_as_total_mw_thirty_minutes_reserve,0.2823272943496704
p00_03,2,0,net_actual_interchange_mw,0.2344457507133484
