数据,目标,变体,集合误差,偏差,字段最大高估,边际99分位,M2偏差,M2误差,边际误差,共模相关,共模占比,严重低估,严重高估
NEM,机组出力_TUMUT3,recon,0.016021687537431717,-0.0032520985696464777,0.06483855843544006,0.05099836736917496,-0.024830693130691847,0.02734759065012137,0.013519165106117725,0.5774128839768685,0.5583476424217224,0,0
NEM,机组出力_PPCCGT,recon,0.009231625124812126,-0.007529758848249912,0.039544761180877686,0.020131871104240417,-0.004835000137488047,0.007720146079858144,0.008408294059336185,0.5107471991617194,0.4968950152397156,0,0
NEM,机组出力_BW01,small_recon,0.007865209132432938,-0.005649312399327755,0.040461208671331406,0.016842646524310112,-0.015888751794894535,0.01692784751454989,0.008708522655069828,0.2744306447626792,0.26585304737091064,0,0
NEM,机组出力_TUMUT3,small_recon,0.01586596667766571,-0.004028722643852234,0.06394609808921814,0.04794580116868019,-0.0297835070018967,0.03120937626808882,0.013709146529436111,0.5673597620254401,0.5465482473373413,0,0
NEM,机组出力_PPCCGT,small_recon,0.01074499636888504,-0.0092700757086277,0.06679953634738922,0.02323572337627411,-0.006570575137933095,0.009602599839369456,0.009532293304800987,0.494537561169831,0.4893050193786621,0,0
NEM,机组出力_BW01,uniform+random,0.007302232552319765,-0.0040968675166368484,0.03554107993841171,0.01747572235763073,-0.015937250355879465,0.016125899056593576,0.007982746697962284,0.29290968913435833,0.28532713651657104,0,0
NEM,机组出力_TUMUT3,uniform+random,0.016146499663591385,-0.0028782763984054327,0.06573399156332016,0.05016908794641495,-0.024728911370038985,0.026698102802038194,0.013719596900045872,0.5638848650715346,0.5453104972839355,0,0
NEM,机组出力_PPCCGT,uniform+random,0.009989985264837742,-0.008177719078958035,0.028887933120131493,0.017559081315994263,-0.0033924102783203123,0.006542901198069255,0.008776267059147358,0.5508975858953339,0.5318306684494019,0,0
NEM,机组出力_BW01,recon+random,0.006071652751415968,-0.0015833553625270724,0.02657979354262352,0.01594950444996357,-0.015925403932730356,0.016640607019265494,0.0069688232615590096,0.23745813493963364,0.23082846403121948,0,0
NEM,机组出力_TUMUT3,recon+random,0.016117487102746964,-0.0012790060136467218,0.06635373085737228,0.051001813262701035,-0.021539852023124695,0.025054068863391878,0.013495495542883873,0.5602768312865173,0.5419826507568359,0,0
NEM,机组出力_PPCCGT,recon+random,0.008235505782067776,-0.005269153974950314,0.02873673103749752,0.0188171174377203,-0.0005847558379173279,0.005295447011788686,0.007558990735560656,0.5347610200672535,0.5146733522415161,0,0
NEM,机组出力_BW01,uniformE,0.007900865748524666,-0.005573737435042858,0.04165181890130043,0.014068493619561195,-0.017236513396104176,0.017725593348344167,0.008747365325689316,0.2933497288784413,0.2836079001426697,0,0
NEM,机组出力_TUMUT3,uniformE,0.01624581217765808,-0.004995508585125208,0.062077704817056656,0.0484536848962307,-0.02676940311988195,0.027080593009789784,0.013863753527402878,0.5794661031994437,0.5603237748146057,0,0
NEM,机组出力_PPCCGT,uniformE,0.011253071948885918,-0.009852849878370762,0.03490038216114044,0.0196248646825552,-0.004968891044457754,0.007569250961144765,0.009783901274204254,0.5457142512412494,0.5314285159111023,0,0
NEM,机组出力_BW01,reconE,0.005717036314308643,-0.0010921768844127655,0.02454734593629837,0.014554113149642944,-0.01575770229101181,0.017131867508093517,0.0066245668567717075,0.24232833867373763,0.23289960622787476,0,0
NEM,机组出力_TUMUT3,reconE,0.01613660901784897,-0.0007064802339300513,0.06556161493062973,0.050831303000450134,-0.023858379075924554,0.02581205094854037,0.0129954032599926,0.5773653612213777,0.557029664516449,0,0
NEM,机组出力_PPCCGT,reconE,0.007725319359451532,-0.0047315871343016624,0.02806074731051922,0.017302781343460083,-0.0013552621006965638,0.005553532143433889,0.007140722591429949,0.5337920832972948,0.5126336812973022,0,0
NEM,机组出力_BW01,random_cy,0.009803499095141888,-0.007318349555134773,0.02336234599351883,0.014149049296975136,-0.021235934148232143,0.021235934148232143,0.009727153927087784,0.34812118003098164,0.32562369108200073,0,0
NEM,机组出力_TUMUT3,random_cy,0.016411082819104195,-0.004009903874248266,0.06467077136039734,0.0482623428106308,-0.029281618446111678,0.029977864275376003,0.013948003761470318,0.5688303331844831,0.5501695871353149,0,0
NEM,机组出力_PPCCGT,random_cy,0.011332239024341106,-0.010027999989688396,0.025997456163167953,0.014709824696183205,-0.004994781812032064,0.007466140389442444,0.009658287279307842,0.5313436346115044,0.5065064430236816,0,0
NEM,机组出力_BW01,uniform_cy,0.010193049907684326,-0.008904493413865566,0.02258402854204178,0.011655994690954685,-0.021934714044133823,0.022147373482584953,0.010254940949380398,0.3062248776217464,0.28928446769714355,0,0
